optimized_group_id,headword,source_count,source_words,added_count,added_forms,memory_word_count,all_memory_words,source_group_id,decision,root_affix,group_explanation,memory_link,mnemonic,collocations,related_recommendations,definitions
O0061,ambition,2,"ambition, ambitious",0,,2,"ambition, ambitious",D0061,kept,amb- 周围，-it- 走 (原意四处奔走拉选票)；-ition 名词后缀；-ious 形容词后缀,ambition 是“野心，雄心”，ambitious 是“有雄心的”。,有野心(ambition)的人总是雄心勃勃(ambitious)地追求目标。,有野心ambition的人ambitious。,political ambition - 政治野心 | ambitious plan - 雄心勃勃的计划,aspiration (抱负) 近义词,ambition: n. 野心，雄心；抱负，志向vt. 追求；有…野心 | ambitious: adj. 野心勃勃的；有雄心的；热望的；炫耀的
O0062,ambulance,1,ambulance,0,,1,ambulance,D0062,kept,,,,,,,ambulance: n. [车辆][医] 救护车；战时流动医院
O0063,amend,2,"amend, amends",0,,2,"amend, amends",D0063,kept,a- 出，-mend 错误 (源自拉丁语 mendum),amend 是“修订，改正”，amends 是“赔偿，赔罪”，常搭配 make amends。,犯错后，先修订(amend)文件，再赔偿(amends)损失。,修订amend错误，做出amends赔偿。,amend the contract - 修改合同 | make amends for - 为…赔罪,"correct, revise 辨析",amend: vt. 修改；改善，改进vi. 改正，改善；改过自新n. (Amend)人名；(德、英)阿门德 | amends: n. 赔偿；赔罪v. 修订（amend的第三人称单数）；改进
O0064,amongst,1,amongst,0,,1,amongst,D0064,kept,,,,,,,amongst: prep. 在……当中（等于 among）
O0065,ampere,1,ampere,0,,1,ampere,D0065,kept,,,,,,,ampere: n. 安培（计算电流强度的标准单位）
O0066,amplify,1,amplify,0,,1,amplify,D0066,kept,,,,,,,amplify: vt. 放大，扩大；增强；详述vi. 详述
O0067,analyse,4,"analogy, analyse, analytic, analytical",3,"analysis, analyst, analytically",7,"analogy, analyse, analytic, analytical, analysis, analyst, analytically",D0067,kept,核心词根 ana- (thoroughly) + lyein (loosen) 表示分解分析；log/logy 表示言辞、推理。analogy 是类比推理，analyse 是分析，analytic/al 是分析性的。,这些词都与分析、推理有关，同源词根帮助记忆。,想象一位科学家在实验室里仔细分析(analyse)数据，用类比(analogy)来推理，展示出强大的分析能力(analytic/analytical)。,ana- 向上，拆解来分析；类比类推用log，分析性质加tic。,draw an analogy - 作类比 | analyse data - 分析数据 | analytic method - 分析方法 | analytical skills - 分析能力,注意 analytic 和 analytical 都译为“分析的”，可互换，但 analytic 更常用于逻辑、哲学；analytical 更强调具体分析过程。,analogy: n. 类比；类推；类似 | analyse: vt. 分析；分解；细察 | analytic: adj. 分析的；解析的；善于分析的 | analytical: adj. 分析的；解析的；善于分析的
O0068,ancestor,1,ancestor,0,,1,ancestor,D0068,kept,,,,,,,ancestor: n. 始祖，祖先；被继承人
O0069,angel,1,angel,0,,1,angel,D0069,kept,,,,,,,"angel: n.天使,完善可爱的人"
O0070,anniversary,1,anniversary,0,,1,anniversary,D0070,kept,,,,,,,anniversary: n. 周年纪念日
O0071,announcer,1,announcer,0,,1,announcer,D0071,kept,,,,,,,announcer: n. [广播] 广播员；宣告者
O0072,anonymous,1,anonymous,0,,1,anonymous,D0072,kept,,,,,,,anonymous: adj. 匿名的，无名的；无个性特征的
O0073,antarctic,1,antarctic,0,,1,antarctic,D0073,kept,,,,,,,antarctic: adj. 南极的；[地理] 南极地带的n. (the Antarctic) 南极洲；南极地区
O0074,anticipate,1,anticipate,0,,1,anticipate,D0074,kept,,,,,,,anticipate: v. 预料，预期；预见，预计（并做准备）； 期盼，期望； 先于……做，早于……行动；在期限内履行（义务），偿还（债务）；提前使用
O0075,anxious,1,anxious,0,,1,anxious,D0075,kept,,,,,,,anxious: adj. 焦虑的；担忧的；渴望的；急切的
O0076,apartment,1,apartment,0,,1,apartment,D0076,kept,,,,,,,apartment: n. 公寓；房间
O0077,apologize,2,"apologize, apology",0,,2,"apologize, apology",D0077,kept,"apo- (away, off) + log (speech) -> 为…申辩，后演变为道歉。",动词和名词形式，一起记忆。,当你向朋友道歉(apologize)，你需要一个真诚的道歉(apology)。,"道歉先说 apologize, 名词 apology 要牢记。",apologize for - 为…道歉 | make an apology - 道歉 | accept an apology - 接受道歉,区分 excuse 和 apology，excuse 是借口，apology 是认错。,apologize: vi. 道歉，谢罪；辩解，辩护 | apology: n. 道歉；谢罪；辩护；勉强的替代物
O0078,apparatus,1,apparatus,0,,1,apparatus,D0078,kept,,,,,,,apparatus: n. 装置，设备；仪器；器官
O0079,appearance,1,appearance,0,,1,appearance,D0079,kept,,,,,,,appearance: n. 外貌，外观；出现，露面
O0080,appendix,1,appendix,0,,1,appendix,D0080,kept,,,,,,,appendix: n. 附录；阑尾；附加物
O0081,applaud,1,applaud,0,,1,applaud,D0081,kept,,,,,,,applaud: vt. 赞同；称赞；向…喝彩vi. 喝彩；鼓掌欢迎
O0082,application,3,"appliance, applicable, application",0,,3,"appliance, applicable, application",D0082,kept,apply (ad- to + plicare fold) 派生：appliance (器具，用于折叠/应用的设备)，applicable (可应用的)，application (应用，申请)。,核心是 apply 应用，三个词分别指器具、可应用性和应用本身。,你填写一份大学申请(application)，需要你列出你的家用电器(appliance)技能，并确认你是否符合适用条件(be applicable)。,apply 应用变三词：器具 appliance 实实在在，适用 applicable 形容词，申请应用 application 名词。,household appliances - 家用电器 | applicable law - 适用法律 | job application - 求职申请 | application form - 申请表,注意 applicant 是申请人，未在词表中，可结合记忆。,appliance: n. 器具；器械；装置；应用 | applicable: adj. 可适用的；可应用的；合适的 | application: n. 应用；申请；应用程序；敷用；（对事物、学习等）投入
O0083,appointment,1,appointment,0,,1,appointment,D0083,kept,,,,,,,appointment: n. 任命；约定；任命的职位
O0084,appreciate,3,"appraisal, appreciable, appreciate",0,,3,"appraisal, appreciable, appreciate",D0084,kept,appraise 来自 ad- + pretium (price) -> 估价；appreciate 来自 ad- + pretium (value) -> 珍视。两者都含“价值”概念，appreciable 表示可感知/可评估的。,appraisal 是评估，appreciate 是欣赏/领会价值，appreciable 是可感知的（大到可评估的）。,收到老板的绩效评估(appraisal)，你非常感激(appreciate)他的认可，这使你的进步可感知(appreciable)。,价值评估 appraisal，心存感激 appreciate，大到可见 appreciable。,performance appraisal - 绩效评估 | appreciate your help - 感谢你的帮助 | appreciable difference - 明显的差异,区分 appreciate 感谢和 enjoy 享受；appraise 评估和 evaluate 评估。,appraisal: n. 评价；估价（尤指估价财产，以便征税）；估计 | appreciable: adj. 可感知的；可评估的；相当可观的 | appreciate: vt. 欣赏；感激；领会；鉴别vi. 增值；涨价
O0085,apprehension,1,apprehension,0,,1,apprehension,D0085,kept,,,,,,,apprehension: n. 理解；恐惧；逮捕；忧惧
O0086,appropriate,1,appropriate,0,,1,appropriate,D0086,kept,,,,,,,appropriate: adj. 适当的；恰当的；合适的vt. 占用，拨出
O0087,approval,1,approval,0,,1,approval,D0087,kept,,,,,,,approval: n. 批准；认可；赞成
O0088,approximate,1,approximate,0,,1,approximate,D0088,kept,,,,,,,approximate: adj. 近似的，大概的v. 接近，近似；粗略估计
O0089,approximately,1,approximately,0,,1,approximately,D0089,kept,,,,,,,approximately: adv. 大约，近似地；近于
O0090,apt,1,apt,0,,1,apt,D0090,kept,,,,,,,apt: adj. 恰当的；有…倾向的；灵敏的n. (Apt)人名；(法、波、英)阿普特
O0091,arabian,1,arabian,0,,1,arabian,D0091,kept,,,,,,,arabian: adj. 阿拉伯（人）的，（与）阿拉伯（有关）的n. （史）阿拉伯人（或居民）
O0092,arbitrary,1,arbitrary,0,,1,arbitrary,D0092,kept,,,,,,,arbitrary: adj. [数] 任意的；武断的；专制的
O0093,arc,1,arc,0,,1,arc,D0093,kept,,,,,,,arc: n. 弧（度）；弧光（全称electric arc）；弧形物；天穹adj. 圆弧的；反三角函数的vt. 形成电弧；走弧线n. (Arc)人名；(法)阿尔克
O0094,architecture,1,architecture,0,,1,architecture,D0094,kept,,,,,,,architecture: n. 建筑学；建筑风格；建筑式样；架构
O0095,argument,1,argument,0,,1,argument,D0095,kept,,,,,,,argument: n. 论证；论据；争吵；内容提要；数，逻自变数；语言学主词，受词
O0096,arithmetic,1,arithmetic,0,,1,arithmetic,D0096,kept,,,,,,,arithmetic: n. 算术，算法；数字
O0097,arouse,1,arouse,0,,1,arouse,D0097,kept,,,,,,,arouse: vt. 引起；唤醒；鼓励vi. 激发；醒来；发奋
O0098,arrangement,1,arrangement,0,,1,arrangement,D0098,kept,,,,,,,arrangement: n. 布置；整理；准备；安排
O0099,array,1,array,0,,1,array,D0099,kept,,,,,,,array: n. 数组，阵列；排列，列阵；大批，一系列；衣服vt. 排列，部署；打扮
O0100,articulate,1,articulate,0,,1,articulate,D0100,kept,,,,,,,"articulate: adj.有关节的,发音清晰的vt.用关节连接,接合,清晰明白地说"
O0101,artificial,2,"artificial, artistic",0,,2,"artificial, artistic",D0101,kept,词根 art = skill（技巧）。artificial 由 art + ficial (制作) -> 人工制作的，引申为人造的、不自然的；artistic 由 art + istic -> 有艺术技巧的，艺术的。,共享词根 art，分别强调人工技巧和艺术技巧。,一位艺术家(artistic)用人工(artificial)材料创作出精美的艺术品。,人工 artificial 假而巧，艺术 artistic 美而妙，皆因 art 技巧脑。,artificial intelligence - 人工智能 | artistic talent - 艺术天赋 | artistic creation - 艺术创作,注意 artificial 虚伪的（行为）与 false 辨析。,artificial: adj. 人造的；仿造的；虚伪的；非原产地的；武断的 | artistic: adj. 艺术的；风雅的；有美感的
O0102,ascend,1,ascend,0,,1,ascend,D0102,kept,,,,,,,ascend: vi. 上升；登高；追溯vt. 攀登，上升
O0103,ascertain,1,ascertain,0,,1,ascertain,D0103,kept,,,,,,,ascertain: vt. 确定；查明；探知
O0104,attribute,2,"ascribe, attribute",0,,2,"ascribe, attribute",D0104,kept,attribute: tribute（给予），at- = ad-（朝向）→ 归于；ascribe: scribe（写），a- = ad- → 写在…名下 → 归于,两者都表示“把……归因/归于”，常用结构 attribute…to / ascribe…to。attribute 还可作名词指属性。,成功学家把成功 attribute（归因）于习惯，也 ascribe（归功）于毅力，并分析成功人士的 positive attributes（属性）。,归因于，都用 to。,attribute...to - 把…归因于 | ascribe...to - 把…归因于 | positive attributes - 积极特质,"同根词：contribute（贡献）, distribute（分配）",ascribe: vt. 归因于；归咎于 | attribute: n. 属性；特质vt. 归属；把……归于
O0105,assault,1,assault,0,,1,assault,D0105,kept,,,,,,,assault: n. 攻击；袭击vt. 攻击；袭击vi. 袭击；动武
O0106,assemble,2,"assemble, assembly",0,,2,"assemble, assembly",D0106,kept,semble（来自拉丁语 simul“一起”），as- = ad-（朝向）→ 使到一起,assemble 是动词，表示集合、装配；assembly 是名词，表示集会、装配、汇编。,想象工人被召集（assemble）到车间，参加晨间集会（assembly），然后一起装配（assemble）产品。,集合起来搞装配。,assemble evidence - 收集证据 | assembly line - 流水线 | General Assembly - 联合国大会,"辨析：meeting（一般会议）, conference（大型会议）, convention（大会）",assemble: vt. 集合，聚集；装配；收集vi. 集合，聚集 | assembly: n. 装配；集会，集合n. 汇编，编译
O0107,assert,1,assert,0,,1,assert,D0107,kept,,,,,,,assert: vt. 维护，坚持；断言；主张；声称
O0108,asset,1,asset,0,,1,asset,D0108,kept,,,,,,,asset: n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物n. （法）阿塞（人名）
O0109,assign,2,"assign, assignment",1,assignable,3,"assign, assignment, assignable",D0109,kept,sign（标记），as- = ad-（朝向）→ 委派时打上标记,assign 是动词，分配、指派；assignment 是名词，任务、作业。,教授 assign（分配）了一个大作业，学生们收到 assignment（任务）后开始分组讨论。,指派任务变作业。,assign a task - 分配任务 | homework assignment - 家庭作业 | assign blame - 归咎,"同义词：allocate, designate",assign: vt. 分配；指派；[计][数] 赋值vi. 将财产过户（尤指过户给债权人） | assignment: n. 分配；任务；作业；功课
O0110,assimilate,1,assimilate,0,,1,assimilate,D0110,kept,,,,,,,assimilate: vt. 吸收；使同化；把…比作；使相似vi. 吸收；同化
O0111,associate,2,"associate, association",0,,2,"associate, association",D0111,kept,soci（同伴），as- = ad-（朝向）→ 使成为同伴 → 联系,associate 可作动词（使发生联系、交往）、名词（同事）、形容词（副的）；association 是名词，表示协会、联合、联想。,你加入一个专业 association（协会），在活动中 associate with（交往）同行，建立起广泛的联系。,协会里联系同事。,associate with - 与……交往 | trade association - 行业协会 | in association with - 与……联合,"辨析：connect, link, relate","associate: vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的 | association: n. 协会，联盟，社团；联合；联想"
O0112,assumption,1,assumption,0,,1,assumption,D0112,kept,,,,,,,assumption: n. 假定；设想；担任；采取
O0113,assure,2,"assurance, assure",0,,2,"assurance, assure",D0113,kept,sure（确定），as- = ad-（朝向）→ 使确信,assure 是动词，保证、使确信；assurance 是名词，保证、担保、保险。,销售员 assure（保证）产品质量靠谱，并拿出一份 assurance（保单）让你放心。,保证之后给保险。,assure sb. of sth. - 向某人保证某事 | life assurance - 人寿保险 | self-assurance - 自信,"辨析：ensure（确保）, insure（给…保险）, guarantee（担保）",assurance: n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻 | assure: vt. 保证；担保；使确信；弄清楚
O0114,astonish,1,astonish,0,,1,astonish,D0114,kept,,,,,,,astonish: v. （使）惊讶；（使）害怕
O0115,astronomy,2,"astronaut, astronomy",0,,2,"astronaut, astronomy",D0115,kept,astro 星,astronomy 天文学（研究星星的科学）；astronaut 宇航员（星际航行者）。,一个热爱 astronomy（天文学）的孩子梦想成为 astronaut（宇航员），去探索宇宙。,天文学造宇航员。,study astronomy - 学习天文学 | become an astronaut - 成为宇航员,扩展：astrophysics（天体物理）；disaster 非此词根,astronaut: n. 宇航员，航天员；太空旅行者 | astronomy: n. 天文学
